experiment_state_timestamp,save_interval_secs,last_save_timestamp,temperature_1_C,humidity_1,temperature_2_C,humidity_2,egg_turning_on,target_temperature,boost_temperature,cooling_start_temperature,heating_proportional_Cf,heating_integral_Cf,heating_derivitive_Cf,target_humidity,range_humidity,control_change_minimum_secs,last_control_change_timestamp,last_fan_on_timestamp,last_turner_change_timestamp,front_switch,rear_switch,near_switch,far_switch,exhaust_on,humidifyer_on,heater_on,boost_on,fan_on
1781026002.117744,20,1781233184.6514518,37.55,0.7126,37.02,0.7628,True,37.5,36.5,38.6,0.95,0.005,0.0,0.7,0.03,2,1781233194.7025585,1781233203.9181538,0,-10,-10,-10,-10,0,0,0,0,True
1781026002.117744,20,1781233204.7531724,37.55,0.7120000000000001,37.02,0.7623000000000001,True,37.5,36.5,38.6,0.95,0.005,0.0,0.7,0.03,2,1781233214.7937896,1781233203.9181538,0,-10,-10,-10,-10,0,0,0,0,True
1781026002.117744,20,1781233224.8320065,37.54,0.7123,37.02,0.7614000000000001,True,37.5,36.5,38.6,0.95,0.005,0.0,0.7,0.03,2,1781233234.876263,1781233203.9181538,0,-10,-10,-10,-10,0,0,0,0,True
1781026002.117744,20,1781233244.899525,37.5,0.7126,37.01,0.7617,True,37.5,36.5,38.6,0.95,0.005,0.0,0.7,0.03,2,1781233244.9032521,1781233203.9181538,0,-10,-10,-10,-10,0,0,0,0,True
1781026002.117744,20,1781233264.9932663,37.48,0.7132,37.02,0.7615000000000001,True,37.5,36.5,38.6,0.95,0.005,0.0,0.7,0.03,2,1781233275.047415,1781233203.9181538,0,-10,-10,-10,-10,0,0,1,0,True
1781026002.117744,20,1781233285.0757067,37.45,0.7141,37.01,0.7614000000000001,True,37.5,36.5,38.6,0.95,0.005,0.0,0.7,0.03,2,1781233295.10462,1781233203.9181538,0,-10,-10,-10,-10,0,0,1,0,True
1781026002.117744,20,1781233305.1489499,37.38,0.7156,37.01,0.7621,True,37.5,36.5,38.6,0.95,0.005,0.0,0.7,0.03,2,1781233315.200129,1781233203.9181538,0,-10,-10,-10,-10,0,0,1,0,False
1781026002.117744,20,1781233325.2445984,37.36,0.7172,37.0,0.7626000000000001,True,37.5,36.5,38.6,0.95,0.005,0.0,0.7,0.03,2,1781233335.2763727,1781233203.9181538,0,-10,-10,-10,-10,0,0,1,0,False
1781026002.117744,20,1781233345.3186963,37.34,0.7184,37.02,0.7635,True,37.5,36.5,38.6,0.95,0.005,0.0,0.7,0.03,2,1781233355.3476534,1781233203.9181538,0,-10,-10,-10,-10,0,0,1,0,False
1781026002.117744,20,1781233365.3740556,37.32,0.7197,37.0,0.7637999999999999,True,37.5,36.5,38.6,0.95,0.005,0.0,0.7,0.03,2,1781233375.422171,1781233383.938778,0,-10,-10,-10,-10,0,0,1,0,True
