experiment_state_timestamp,save_interval_secs,last_save_timestamp,temperature_1_C,humidity_1,egg_turning_on,target_temperature,cooling_start_temperature,heating_proportional_Cf,heating_integral_Cf,heating_derivitive_Cf,target_humidity,range_humidity,control_change_minimum_secs,last_control_change_timestamp,last_fan_on_timestamp,last_turner_change_timestamp,front_switch,rear_switch,near_switch,far_switch,exhaust_on,humidifyer_on,heater_on,fan_on
1745329089.321237,20,1746183699.7086232,37.37,0.6069,True,37.5,38,1.3,0.006,0.0,0.6,0.03,2,1746183719.5865436,1746183592.109941,1746183592.062356,0.99982,0.99466,0.99982,0.99466,0,0,1,False
1745329089.321237,20,1746183719.9659388,37.39,0.6018,True,37.5,38,1.3,0.006,0.0,0.6,0.03,2,1746183739.8046346,1746183592.109941,1746183592.062356,0.00201,0.99634,0.00201,0.99634,0,0,1,False
1745329089.321237,20,1746183740.195307,37.45,0.5964,True,37.5,38,1.3,0.006,0.0,0.6,0.03,2,1746183760.073758,1746183592.109941,1746183592.062356,0.00238,0.99622,0.00238,0.99622,0,0,1,False
1745329089.321237,20,1746183760.4599006,37.46,0.5908,True,37.5,38,1.3,0.006,0.0,0.6,0.03,2,1746183780.12398,1746183772.1415226,1746183592.062356,0.0022,0.99649,0.0022,0.99649,0,0,1,False
1745329089.321237,20,1746183780.525157,37.49,0.5847,True,37.5,38,1.3,0.006,0.0,0.6,0.03,2,1746183800.373008,1746183772.1415226,1746183592.062356,0.00192,0.99579,0.00192,0.99579,0,0,1,False
1745329089.321237,20,1746183800.7606118,37.54,0.5792,True,37.5,38,1.3,0.006,0.0,0.6,0.03,2,1746183820.6864483,1746183772.1415226,1746183592.062356,0.00232,0.99582,0.00232,0.99582,0,0,0,False
1745329089.321237,20,1746183820.7690494,37.58,0.5731,True,37.5,38,1.3,0.006,0.0,0.6,0.03,2,1746183840.726031,1746183772.1415226,1746183592.062356,0.00223,0.99551,0.00223,0.99551,0,0,0,False
1745329089.321237,20,1746183840.8018484,37.66,0.5687,True,37.5,38,1.3,0.006,0.0,0.6,0.03,2,1746183860.7695682,1746183772.1415226,1746183592.062356,0.00156,0.99573,0.00156,0.99573,0,1,0,False
1745329089.321237,20,1746183860.8448162,37.66,0.5929,True,37.5,38,1.3,0.006,0.0,0.6,0.03,2,1746183880.8466723,1746183772.1415226,1746183592.062356,0.00235,0.99576,0.00235,0.99576,0,0,0,False
1745329089.321237,20,1746183880.9119203,37.71,0.5954,True,37.5,38,1.3,0.006,0.0,0.6,0.03,2,1746183900.865042,1746183772.1415226,1746183592.062356,0.00195,0.9957,0.00195,0.9957,0,0,0,False
1745329089.321237,20,1746183900.9318209,37.67,0.5906,True,37.5,38,1.3,0.006,0.0,0.6,0.03,2,1746183920.8970404,1746183772.1415226,1746183592.062356,0.00235,0.99548,0.00235,0.99548,0,0,0,False
1745329089.321237,20,1746183920.9678032,37.64,0.5851,True,37.5,38,1.3,0.006,0.0,0.6,0.03,2,1746183940.9687414,1746183772.1415226,1746183592.062356,0.00226,0.99576,0.00226,0.99576,0,0,0,False
1745329089.321237,20,1746183941.0367115,37.64,0.5782,True,37.5,38,1.3,0.006,0.0,0.6,0.03,2,1746183961.0068572,1746183952.184496,1746183592.062356,0.00211,0.99557,0.00211,0.99557,0,0,0,False
1745329089.321237,20,1746183961.0747547,37.64,0.5735,True,37.5,38,1.3,0.006,0.0,0.6,0.03,2,1746183981.0437727,1746183952.184496,1746183592.062356,0.00217,0.99536,0.00217,0.99536,0,0,0,False
1745329089.321237,20,1746183981.1114573,37.59,0.5682,True,37.5,38,1.3,0.006,0.0,0.6,0.03,2,1746184001.0871134,1746183952.184496,1746183592.062356,0.00156,0.99329,0.00156,0.99329,0,1,0,False
1745329089.321237,20,1746184001.155783,37.55,0.5901,True,37.5,38,1.3,0.006,0.0,0.6,0.03,2,1746184021.1069481,1746183952.184496,1746183592.062356,0.00241,0.99301,0.00241,0.99301,0,0,0,False
1745329089.321237,20,1746184021.1763802,37.55,0.5943,True,37.5,38,1.3,0.006,0.0,0.6,0.03,2,1746184041.1315374,1746183952.184496,1746183592.062356,0.00229,0.99289,0.00229,0.99289,0,0,0,False
1745329089.321237,20,1746184041.2077634,37.47,0.5918,True,37.5,38,1.3,0.006,0.0,0.6,0.03,2,1746184061.0088527,1746183952.184496,1746183592.062356,0.00214,0.99274,0.00214,0.99274,0,0,1,False
1745329089.321237,20,1746184061.4028022,37.43,0.5879,True,37.5,38,1.3,0.006,0.0,0.6,0.03,2,1746184081.3473997,1746183952.184496,1746183592.062356,0.00211,0.99283,0.00211,0.99283,0,0,1,False
1745329089.321237,20,1746184081.7258837,37.4,0.5838,True,37.5,38,1.3,0.006,0.0,0.6,0.03,2,1746184101.6782606,1746183952.184496,1746183592.062356,0.00198,0.99313,0.00198,0.99313,0,0,1,False
1745329089.321237,20,1746184102.0655427,37.37,0.58,True,37.5,38,1.3,0.006,0.0,0.6,0.03,2,1746184121.736339,1746183952.184496,1746183592.062356,0.00232,0.99332,0.00232,0.99332,0,0,1,False
1745329089.321237,20,1746184122.1223013,37.33,0.5758,True,37.5,38,1.3,0.006,0.0,0.6,0.03,2,1746184142.0916672,1746184132.5770617,1746183592.062356,0.00229,0.99295,0.00229,0.99295,0,0,1,False
1745329089.321237,20,1746184142.4703681,37.32,0.5721,True,37.5,38,1.3,0.006,0.0,0.6,0.03,2,1746184162.4277148,1746184132.5770617,1746183592.062356,0.00211,0.99313,0.00211,0.99313,0,0,1,False
1745329089.321237,20,1746184162.8127518,37.28,0.5689000000000001,True,37.5,38,1.3,0.006,0.0,0.6,0.03,2,1746184182.5457594,1746184132.5770617,1746183592.062356,0.00156,0.99323,0.00156,0.99323,False,True,1,False
1745329089.321237,20,1746184182.9147842,37.32,0.5949,True,37.5,38,1.3,0.006,0.0,0.6,0.03,2,1746184202.6275094,1746184132.5770617,1746183592.062356,0.00235,0.99329,0.00235,0.99329,0,0,1,False
1745329089.321237,20,1746184203.006705,37.26,0.5989,True,37.5,38,1.3,0.006,0.0,0.6,0.03,2,1746184222.7289367,1746184132.5770617,1746183592.062356,0.00198,0.99307,0.00198,0.99307,0,0,1,False
1745329089.321237,20,1746184223.110089,37.3,0.5957,True,37.5,38,1.3,0.006,0.0,0.6,0.03,2,1746184242.7951715,1746184132.5770617,1746183592.062356,0.00226,0.99292,0.00226,0.99292,0,0,1,False
1745329089.321237,20,1746184243.175349,37.3,0.5908,True,37.5,38,1.3,0.006,0.0,0.6,0.03,2,1746184262.976965,1746184132.5770617,1746183592.062356,0.00217,0.9931,0.00217,0.9931,0,0,1,False
1745329089.321237,20,1746184263.3454723,37.32,0.5853,True,37.5,38,1.3,0.006,0.0,0.6,0.03,2,1746184283.1633325,1746184132.5770617,1746183592.062356,0.0022,0.9931,0.0022,0.9931,0,0,1,False
1745329089.321237,20,1746184283.5321841,37.31,0.5810000000000001,True,37.5,38,1.3,0.006,0.0,0.6,0.03,2,1746184303.3649285,1746184132.5770617,1746183592.062356,0.00226,0.99307,0.00226,0.99307,0,0,1,False
1745329089.321237,20,1746184303.735094,37.43,0.5758,True,37.5,38,1.3,0.006,0.0,0.6,0.03,2,1746184323.5965514,1746184312.9436967,1746183592.062356,0.00189,0.9931,0.00189,0.9931,0,0,1,False
1745329089.321237,20,1746184323.9671183,37.44,0.5715,True,37.5,38,1.3,0.006,0.0,0.6,0.03,2,1746184343.9101636,1746184312.9436967,1746183592.062356,0.00223,0.99298,0.00223,0.99298,0,0,1,False
1745329089.321237,20,1746184344.3049197,37.46,0.5743,True,37.5,38,1.3,0.006,0.0,0.6,0.03,2,1746184364.2184515,1746184312.9436967,1746183592.062356,0.0022,0.99313,0.0022,0.99313,0,0,1,False
