experiment_state_timestamp,save_interval_secs,last_save_timestamp,temperature_1_C,humidity_1,temperature_2_C,egg_turning_on,target_temperature,boost_temperature,cooling_start_temperature,heating_proportional_Cf,heating_integral_Cf,heating_derivitive_Cf,target_humidity,range_humidity,control_change_minimum_secs,last_control_change_timestamp,front_turn_switch,rear_turn_switch,top_switch,venting_state,last_venting_timestamp,exhaust_on,humidifyer_on,heater_on,boost_on,fan_on
1784849457.3002179,20,1785322887.2889216,37.44373235675593,0.6521004043640802,37.04318303196766,True,37.5,36.5,38.6,0.95,0.05,0.0,0.7,0.03,2,1785322897.3177738,False,False,True,False,1785322857.5177932,False,True,1,0,False
1784849457.3002179,20,1785322907.2971632,37.465094987411305,0.6518524452582589,37.06988632028687,True,37.5,36.5,38.6,0.95,0.05,0.0,0.7,0.03,2,1785322917.32568,False,True,True,False,1785322857.5177932,False,True,1,0,False
1784849457.3002179,20,1785322927.305041,37.49713893339437,0.6519096665903716,37.10193026626993,True,37.5,36.5,38.6,0.95,0.05,0.0,0.7,0.03,2,1785322937.3343656,False,True,True,False,1785322857.5177932,False,True,1,0,False
1784849457.3002179,20,1785322947.312168,37.52918287937743,0.6518905928130008,37.11261158159762,True,37.5,36.5,38.6,0.95,0.05,0.0,0.7,0.03,2,1785322957.3395195,False,False,True,False,1785322857.5177932,False,1,0,0,False
1784849457.3002179,20,1785322967.3191864,37.52384222171359,0.6520431830319677,37.13130388342107,True,37.5,36.5,38.6,0.95,0.05,0.0,0.7,0.03,2,1785322977.3471494,False,True,True,False,1785322857.5177932,False,1,0,0,False
1784849457.3002179,20,1785322987.3266833,37.49446860456244,0.6518715190356298,37.12863355458916,True,37.5,36.5,38.6,0.95,0.05,0.0,0.7,0.03,2,1785322997.3552492,False,True,True,False,1785322857.5177932,False,True,1,0,False
1784849457.3002179,20,1785323007.3336327,37.489127946898606,0.6518905928130008,37.11795223926147,True,37.5,36.5,38.6,0.95,0.05,0.0,0.7,0.03,2,1785323017.361044,False,False,True,False,1785322857.5177932,False,True,1,0,False
1784849457.3002179,20,1785323027.3399084,37.49446860456244,0.6518715190356298,37.12062256809338,True,37.5,36.5,38.6,0.95,0.05,0.0,0.7,0.03,2,1785323037.3714943,False,False,True,True,1785323037.5178196,False,True,1,0,False
1784849457.3002179,20,1785323047.3479116,37.50514991989013,0.6518905928130008,37.10727092393378,True,37.5,36.5,38.6,0.95,0.05,0.0,0.7,0.03,2,1785323057.3776093,False,False,True,True,1785323037.5178196,False,1,0,0,False
1784849457.3002179,20,1785323067.354782,37.51049057755398,0.6517761501487754,37.12596322575723,True,37.5,36.5,38.6,0.95,0.05,0.0,0.7,0.03,2,1785323077.3830192,False,False,True,False,1785323037.5178196,False,1,0,0,False
